"questions","answers","A","B","C","D","full_sentence"
"_____ strong sales in its Mobile Communications Division, Murata Technologies finished the year in the red.","Despite","Because of","Despite","Owing to","Due to","Despite strong sales in its Mobile Communications Division, Murata Technologies finished the year in the red."
"The total cost of the construction project was more than double the initial _____.","estimate","expect","predict","estimate","evaluate","The total cost of the construction project was more than double the initial estimate."
"Mr. King has detailed knowledge of banking regulations, _____ worked in the finance industry for over 20 years.","having","has","have","had","having","Mr. King has detailed knowledge of banking regulations, having worked in the finance industry for over 20 years."
"Meeting Room B will be unavailable _____ August 12 while renovations are carried out.","until","at","within","by","until","Meeting Room B will be unavailable until August 12 while renovations are carried out."
"Any problems with the machinery should _____ to the foreman immediately.","be reported","be reported","have reported","report","has reported","Any problems with the machinery should be reported to the foreman immediately."
"Please note that late _____ will not be admitted.","arrivals","arrive","arrival","arrived","arrivals","Please note that late arrivals will not be admitted."
"This is the room in _____ tomorrow's meeting will be held.","which","that","which","where","when","This is the room in which tomorrow's meeting will be held."
"The venue for next year's event has already _____.","been decided","decided","deciding","been decided","will be decided","The venue for next year's event has already been decided."
"Orders received _____ 2 pm will ship the same day.","by","until","in","by","on","Orders received by 2 pm will ship the same day."
"Mr. Grayson gave a _____ speech at the conference.","fascinating","fascinated","fascinates","fascinating","fascinate","Mr. Grayson gave a fascinating speech at the conference."
"All companies are required to _____ with the new environmental regulations by 2020.","comply","abide","comply","obey","follow","All companies are required to comply with the new environmental regulations by 2020."
"Small businesses have been hit _____ by the economic downturn, with many going bankrupt.","hardest","hardy","hardly","hardest","harder","Small businesses have been hit hardest by the economic downturn, with many going bankrupt."
"Textar Electronics' latest smartphone has a 50% _____ battery life than the previous model.","longer","longest","long","longer","length","Textar Electronics' latest smartphone has a 50% longer battery life than the previous model."
"Each room at the Merlin Hotel has _____ own private balcony.","its","an","their","the","its","Each room at the Merlin Hotel has its own private balcony."
"_____ delays in the development process, the release of the company's new smartphone application has been postponed until June.","Because of","By means of","Because of","Except for","In spite of","Because of delays in the development process, the release of the company's new smartphone application has been postponed until June."
"A PDF of the slides used in this presentation can _____ from our website.","be downloaded","download","downloads","downloading","be downloaded","A PDF of the slides used in this presentation can be downloaded from our website."
"Refunds are available _____ 3 working days before the start of the event.","up to","onto","up to","owing to","into","Refunds are available up to 3 working days before the start of the event."
"Ms. Lopez did not get the job even _____ she was the most qualified applicant.","though","despite","if","though","however","Ms. Lopez did not get the job even though she was the most qualified applicant."
"This year's annual general meeting will _____ place on Saturday, March 26.","take","taking","take","be taken","takes","This year's annual general meeting will take place on Saturday, March 26."
"Gladstone Manufacturing is looking for a new chief financial officer _____ John Brown's sudden resignation.","following","follow","follows","following","followed","Gladstone Manufacturing is looking for a new chief financial officer following John Brown's sudden resignation."
"If you will be unable to attend the meeting, please _____ Ms. Yamamoto as soon as possible.","notify","note","notice","notify","noticing","If you will be unable to attend the meeting, please notify Ms. Yamamoto as soon as possible."
"I have attached a _____ agenda for this afternoon's meeting.","revised","revise","revised","revising","revision","I have attached a revised agenda for this afternoon's meeting."
"Please send me the proposal for next year's marketing plan _____ 17:00 on Friday.","by","at","on","by","until","Please send me the proposal for next year's marketing plan by 17:00 on Friday."
"We are currently _____ to have about two hundred participants.","expecting","accepting","expecting","believing","wondering","We are currently expecting to have about two hundred participants."
"Matsuyama Robotics announced _____ it will build a new factory in Taiwan.","that","what","which","to","that","Matsuyama Robotics announced that it will build a new factory in Taiwan."
"At the meeting, several possible causes of the _____ decline in sales were identified.","recent","recent","recently","lately","soon","At the meeting, several possible causes of the recent decline in sales were identified."
"The results of the survey will _____ in a meeting to be held on April 22nd.","be presented","present","be present","presented","be presented","The results of the survey will be presented in a meeting to be held on April 22nd."
"Let's move _____ to the next item on the agenda.","on","in","out","on","about","Let's move on to the next item on the agenda."
"Farside Software reported that its third-quarter profits fell 19% compared _____ the previous year.","with","in","with","for","within","Farside Software reported that its third-quarter profits fell 19% compared with the previous year."
"Productivity has almost _____ since she became CEO in 2010.","doubled","double","doubles","doubled","doubling","Productivity has almost doubled since she became CEO in 2010."
"Please let me know whether you will be able to finish the project _____ schedule.","on","in","by","on","at","Please let me know whether you will be able to finish the project on schedule."
"This quote is _____ for 30 days from the date of issue.","valid","available","useful","possible","valid","This quote is valid for 30 days from the date of issue."
"_____ the COMMTEX trade fair is usually held in June, this year it was held in July.","Although","Instead of","Although","But","Yet","Although the COMMTEX trade fair is usually held in June, this year it was held in July."
"The target market for this product is women aged between 25 _____ 3","and","to","and","or","until","The target market for this product is women aged between 25 and 3"
"We've interviewed a large number of people, but none of _____ have been suitable.","them","all","any","they","them","We've interviewed a large number of people, but none of them have been suitable."
"Reservations for factory tours must _____ at least 48 hours in advance.","be made","make","making","made","be made","Reservations for factory tours must be made at least 48 hours in advance."
"Tesslar Software's attempt to break _____ the Chinese market was unsuccessful.","into","into","onto","off","for","Tesslar Software's attempt to break into the Chinese market was unsuccessful."
"Over the past year, the unemployment rate has fallen _____ to below 5 percent.","sharply","sharp","sharply","sharpen","sharpened","Over the past year, the unemployment rate has fallen sharply to below 5 percent."
"Please do not _____ to contact me if you have any questions.","hesitate","worry","refuse","hesitate","concern","Please do not hesitate to contact me if you have any questions."
"Smithfield Corporation's market share increased by 15 percent _____ his leadership.","under","between","within","under","above","Smithfield Corporation's market share increased by 15 percent under his leadership."
"The feedback that we received from attendees was _____ all positive.","almost","very","almost","slightly","some","The feedback that we received from attendees was almost all positive."
"Cameras and camera phones are not _____ inside the factory.","allowed","allow","allowing","allowed","allows","Cameras and camera phones are not allowed inside the factory."
